Adventure_AreaObject,AdventureAreaObjectRequest,AdventureAreaObjectResponse
Adventure_ReadSequence,AdventureReadSequenceRequest,AdventureReadSequenceResponse
Adventure_AccessWarpPoint,AdventureAccessWarpPointRequest,AdventureAccessWarpPointResponse
Adventure_ReleaseWarpPoint,AdventureReleaseWarpPointRequest,AdventureReleaseWarpPointResponse
Adventure_FastTravel,AdventureFastTravelRequest,ChangedResourcesResponse
Adventure_AcquireAreaItem,AdventureAcquireAreaItemRequest,AdventureAcquireAreaItemResponse
Adventure_MoveToArea,AdventureMoveToAreaRequest,AdventureMoveToAreaResponse
Adventure_Variable,AdventureVariableRequest,AdventureVariableResponse
Adventure_Hospital,AdventureHospitalRequest,ChangedResourcesResponse
Adventure_TrackTarget,AdventureTrackTargetRequest,ChangedResourcesResponse
Auth_SignIn,AuthSignInRequest,AuthSignInResponse
Auth_SignUp,AuthSignUpRequest,AuthSignUpResponse
Auth_SignUpApple,AuthSignUpAppleRequest,AuthSignUpAppleResponse
Auth_SignUpGoogle,AuthSignUpGoogleRequest,AuthSignUpGoogleResponse
Auth_SignUpPasscode,AuthSignUpPasscodeRequest,AuthSignUpPasscodeResponse
Auth_Nonce,None,AuthNonceResponse
Battle_Start,BattleStartRequest,BattleStartResponse
Battle_Finish,BattleFinishRequest,BattleFinishResponse
Battle_Skip,BattleSkipRequest,BattleSkipResponse
Battle_Restart,BattleRestartRequest,BattleRestartResponse
Battle_Reward,BattleRewardRequest,BattleRewardResponse
Character_Enhance,CharacterEnhanceRequest,ChangedResourcesResponse
Character_RankEnhance,CharacterRankEnhanceRequest,CharacterRankEnhanceResponse
Character_LimitBreak,CharacterLimitBreakRequest,CharacterLimitBreakResponse
Character_Equip,CharacterEquipRequest,ChangedResourcesResponse
Character_SkillPanelEnhance,CharacterSkillPanelEnhanceRequest,CharacterSkillPanelEnhanceResponse
Character_SkillPanelReset,CharacterSkillPanelResetRequest,CharacterSkillPanelResetResponse
Character_CostumeUpdate,CharacterCostumeUpdateRequest,ChangedResourcesResponse
Character_ItemPresent,CharacterItemPresentRequest,ChangedResourcesResponse
Debug_ClientError,None,None
Debug_ServerError,None,None
Debug_UserError,None,None
Debug_JiraToken,None,DebugJiraTokenResponse
Debug_ChallengeClear,DebugChallengeClearRequest,DebugChallengeClearResponse
Debug_MailSend,DebugMailSendRequest,None
Debug_UserBulkResource,DebugUserBulkResourceRequest,None
Debug_ShopPurchase,DebugShopPurchaseRequest,ChangedResourcesResponse
Debug_XbPvpSpecifyEnemy,DebugXbPvpSpecifyEnemyRequest,None
Dish_Order,DishOrderRequest,ChangedResourcesResponse
Dungeon_Entry,DungeonEntryRequest,DungeonEntryResponse
Dungeon_Start,DungeonStartRequest,DungeonStartResponse
Dungeon_Resume,DungeonResumeRequest,DungeonResumeResponse
Dungeon_Restart,DungeonRestartRequest,DungeonRestartResponse
FieldBoss_Entry,FieldBossEntryRequest,ChangedResourcesResponse
Formation_Update,FormationUpdateRequest,ChangedResourcesResponse
Formation_Switch,FormationSwitchRequest,ChangedResourcesResponse
Gacha_List,None,GachaListResponse
Gacha_Execute,GachaExecuteRequest,GachaExecuteResponse
Gear_Enhance,GearEnhanceRequest,GearEnhanceResponse
Gear_Lock,GearLockRequest,ChangedResourcesResponse
Gear_Unlock,GearUnlockRequest,ChangedResourcesResponse
Gear_Compress,GearCompressRequest,GearCompressResponse
HappyWorker_List,HappyWorkerListRequest,HappyWorkerListResponse
HappyWorker_Start,HappyWorkerStartRequest,HappyWorkerStartResponse
HappyWorker_Cancel,HappyWorkerCancelRequest,HappyWorkerCancelResponse
Item_Synthesize,ItemSynthesizeRequest,ChangedResourcesResponse
Item_Exchange,ItemExchangeRequest,ChangedResourcesResponse
Item_Use,ItemUseRequest,ChangedResourcesResponse
Item_UseSupply,ItemUseSupplyRequest,ItemUseSupplyResponse
Item_Sell,ItemSellRequest,ChangedResourcesResponse
Item_SellSupply,ItemSellSupplyRequest,ItemSellSupplyResponse
LoginBonus_List,None,ChangedResourcesResponse
LoginBonus_Receive,LoginBonusReceiveRequest,LoginBonusReceiveResponse
Mail_List,None,MailListResponse
Mail_Open,MailOpenRequest,MailOpenResponse
Mail_Delete,MailDeleteRequest,MailDeleteResponse
Mission_Receive,MissionReceiveRequest,MissionReceiveResponse
