Adventure_AreaObject,AdventureAreaObjectRequest,AdventureAreaObjectResponse
Adventure_ReadSequence,AdventureReadSequenceRequest,AdventureReadSequenceResponse
Adventure_AccessWarpPoint,AdventureAccessWarpPointRequest,AdventureAccessWarpPointResponse
Adventure_ReleaseEventLift,AdventureReleaseEventLiftRequest,ChangedResourcesResponse
Adventure_WarpAreaLocator,AdventureWarpAreaLocatorRequest,ChangedResourcesResponse
Adventure_AcquireAreaItem,AdventureAcquireAreaItemRequest,AdventureAcquireAreaItemResponse
Adventure_FindGraffiti,AdventureFindGraffitiRequest,AdventureFindGraffitiResponse
Adventure_MoveToArea,AdventureMoveToAreaRequest,AdventureMoveToAreaResponse
Adventure_Hospital,AdventureHospitalRequest,ChangedResourcesResponse
Adventure_TrackTarget,AdventureTrackTargetRequest,ChangedResourcesResponse
Adventure_UpdateCharacterStatus,AdventureUpdateCharacterStatusRequest,ChangedResourcesResponse
Auth_SignIn,AuthSignInRequest,AuthSignInResponse
Auth_SignUp,AuthSignUpRequest,AuthSignUpResponse
Auth_SignUpApple,AuthSignUpAppleRequest,AuthSignUpAppleResponse
Auth_SignUpGoogle,AuthSignUpGoogleRequest,AuthSignUpGoogleResponse
Auth_SignUpPasscode,AuthSignUpPasscodeRequest,AuthSignUpPasscodeResponse
Auth_SteamUser,AuthSteamUserRequest,AuthSteamUserResponse
Auth_Nonce,None,AuthNonceResponse
Battle_Start,BattleStartRequest,BattleStartResponse
Battle_Finish,BattleFinishRequest,BattleFinishResponse
Battle_Skip,BattleSkipRequest,BattleSkipResponse
Battle_Restart,BattleRestartRequest,BattleRestartResponse
Character_Enhance,CharacterEnhanceRequest,ChangedResourcesResponse
Character_RankEnhance,CharacterRankEnhanceRequest,CharacterRankEnhanceResponse
Character_LimitBreak,CharacterLimitBreakRequest,CharacterLimitBreakResponse
Character_Equip,CharacterEquipRequest,ChangedResourcesResponse
Character_SkillPanelEnhance,CharacterSkillPanelEnhanceRequest,CharacterSkillPanelEnhanceResponse
Character_SkillPanelReset,CharacterSkillPanelResetRequest,CharacterSkillPanelResetResponse
Character_CostumeUpdate,CharacterCostumeUpdateRequest,ChangedResourcesResponse
Character_ItemPresent,CharacterItemPresentRequest,ChangedResourcesResponse
City_ReleaseGearShop,CityReleaseGearShopRequest,ChangedResourcesResponse
Debug_ClientError,None,None
Debug_ServerError,None,None
Debug_UserError,None,None
Debug_JiraToken,None,DebugJiraTokenResponse
Debug_ChallengeClear,DebugChallengeClearRequest,DebugChallengeClearResponse
Debug_MailSend,DebugMailSendRequest,None
Debug_UserBulkResource,DebugUserBulkResourceRequest,None
Debug_ShopPurchase,DebugShopPurchaseRequest,ChangedResourcesResponse
Debug_XbPvpSpecifyEnemy,DebugXbPvpSpecifyEnemyRequest,None
Dish_Order,DishOrderRequest,ChangedResourcesResponse
Dungeon_Entry,DungeonEntryRequest,DungeonEntryResponse
Dungeon_Start,DungeonStartRequest,DungeonStartResponse
Dungeon_Finish,DungeonFinishRequest,ChangedResourcesResponse
Dungeon_Resume,DungeonResumeRequest,DungeonResumeResponse
Dungeon_AcquireAreaItem,DungeonAcquireAreaItemRequest,DungeonAcquireAreaItemResponse
Dungeon_BattleStart,DungeonBattleStartRequest,BattleStartResponse
Dungeon_BattleSkip,DungeonBattleSkipRequest,BattleSkipResponse
Event_ListNode,None,ChangedResourcesResponse
Event_FinishNode,EventFinishNodeRequest,EventFinishNodeResponse
FieldBoss_Entry,FieldBossEntryRequest,FieldBossEntryResponse
Follow_List,None,FollowListResponse
Follow_Detail,FollowDetailRequest,FollowDetailResponse
Follow_Search,FollowSearchRequest,FollowSearchResponse
Follow_Add,FollowAddRequest,FollowAddResponse
Follow_Remove,FollowRemoveRequest,FollowRemoveResponse
Formation_Update,FormationUpdateRequest,ChangedResourcesResponse
Formation_Switch,FormationSwitchRequest,ChangedResourcesResponse
FractalVise_RewardsTop,FractalViseRewardsTopRequest,FractalViseRewardsTopResponse
FractalVise_RewardsReceive,FractalViseRewardsReceiveRequest,FractalViseRewardsReceiveResponse
FractalVise_Start,FractalViseStartRequest,FractalViseStartResponse
FractalVise_NextArea,FractalViseNextAreaRequest,FractalViseNextAreaResponse
FractalVise_Resume,FractalViseResumeRequest,FractalViseResumeResponse
