Adventure_AccessWarpPoint,AdventureAccessWarpPointRequest,AdventureAccessWarpPointResponse
Adventure_AcquireAreaItem,AdventureAcquireAreaItemRequest,AdventureAcquireAreaItemResponse
Adventure_AreaObject,AdventureAreaObjectRequest,AdventureAreaObjectResponse
Adventure_MoveToArea,AdventureMoveToAreaRequest,AdventureMoveToAreaResponse
Adventure_ReadSequence,AdventureReadSequenceRequest,AdventureReadSequenceResponse
Adventure_UpdateCharacterStatus,AdventureUpdateCharacterStatusRequest,ChangedResourcesResponse
Auth_Nonce,None,AuthNonceResponse
Auth_SignIn,None,AuthSignInResponse
Auth_SteamUser,None,AuthSteamUserResponse
Battle_Finish,BattleFinishRequest,BattleFinishResponse
Battle_Start,BattleStartRequest,BattleStartResponse
Character_CostumeUpdate,CharacterCostumeUpdateRequest,ChangedResourcesResponse
Formation_Update,FormationUpdateRequest,ChangedResourcesResponse
Gacha_List,None,GachaListResponse
Tip_Release,TipReleaseRequest,TipReleaseResponse
User_CrossDate,None,UserCrossDateResponse
User_LogIn,None,UserLogInResponse
Xb_ForceRetire,None,None
Xb_Formation,XbFormationRequest,XbFormationResponse
Xb_Play,XbPlayRequest,XbPlayResponse
Xb_Retire,None,XbRetireResponse
Xb_Start,XbStartRequest,XbStartResponse
Xb_Status,XbStatusRequest,XbStatusResponse
Xb_UpdateTension,XbUpdateTensionRequest,XbUpdateTensionResponse
